ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
5669932.18,10971339.1,3623711.12,3541503.274,452310.344,895998.214,895998.9612,1363499.657,2051400.41,1083797.807,2001299.045,1941328.81,483180.473,159568.9487,749258.53
4180547.28,7650159.9,2521571.761,2435194.41,315539.4271,642381.141,641144.7281,952283.3029,1528120.634,738980.0617,1153764.278,960168.63,203495.575,61258.4233,274548.988
1844300.23,4398816.6,1147402.111,1009698.86,115339.893,342799.2101,342799.9986,516600.1259,979039.12,486500.218,862398.2179,847279.13,222789.97,57006.51185,275944.88
3930475.76,6095145.52,1652191.12,1808301.356,165049.9797,459899.8027,459596.0271,731700.3844,1145331.715,512999.5061,859100.714,856777.49,217530.17,61578.22554,331570.17
1439092.52,3295995.5,715201.007,641101.2051,45889.9483,215704.243,216208.3831,315000.3485,602290.2708,262280.6249,480200.023,465640.31,114269.918,24730.02638,184129.84
3357374.335,5097769.6,2600716.17,2114195.66,315668.4112,749922.49,750382.3542,1355027.526,2118453.208,1115150.241,2051206.608,2041018.929,520619.121,138947.7518,696996.09
1999502.41,4580047.01,1268898.58,1078305.171,112915.5421,429988.6113,429988.5638,609399.853,1102634.433,515999.387,1111399.511,1175628.9,283407.453,79840.02127,427199.37
2016798.78,4502002.47,1124000.32,987396.6612,122499.9188,301474.7681,301193.1624,424199.8164,807219.548,360899.6129,689540.4047,645593.7,130393.6675,20299.97035,230120.25
4269997.76,7492709.27,2583095.62,2241197.75,368587.4371,707612.4973,707283.3171,1213499.279,2099480.332,1171396.994,1923194.54,1596478.683,357629.596,88870.02688,455889.99
4307624.08,7102198.7,3386516.34,2594331.33,525566.9374,906544.5,903811.9846,1325235.719,2166369.769,1155265.009,1857746.795,1832700.065,488235.186,171613.7267,748684.37
3166100.416,5979771.3,2327702.72,1858009.952,399480.8212,701453.424,703083.1923,1108801.101,1997005.596,1214800.502,2208001.23,2273409.79,677229.86,305700.3757,1107779.23
8604751.54,14675858.5,4490776.53,4034007.93,683279.454,1245291.61,1245292.281,2044797.436,3424328.888,2079802.896,3688403.268,3181483.246,870899.806,354850.633,1288421.02
1856998.1,4370008.4,1045699.34,906970.1108,92209.96455,343817.0275,343969.7863,526060.0138,981008.574,476800.1655,920800.09,962288.7,247179.733,83069.87405,450617.445
5697689.7,10534437.8,3398026.16,2865461.6,503419.4622,873004.855,871125.5588,1403202.842,2217215.159,1096333.134,1883771.468,1718969.78,513979.881,211709.7321,696225.8
6481655.51,14312216.9,3127558.41,3137711.54,399726.5409,848666.98,848669.4257,1338396.62,2489359.13,1454098.527,2652498.762,2464699.65,641729.046,235680.177,1245641.42
6651089,11261565.7,3896785.35,3405494.16,510252.13,996534.902,996532.7457,1485400.142,2351578.008,1286898.604,2254001.99,1979580.84,490809.985,135600.0389,750259.037
5619749.7,8498170.9,3860447.14,3133449.52,658094.571,1010598.634,1010599.811,1564941.482,2369808.196,1288938.626,2053702.112,1973394.45,671290.498,364450.8098,1002669.9
2910885.66,4740376.2,1462521.08,1398587.89,188638.3758,454019.1396,453272.3931,676163.723,1298341.418,686407.367,1265475.42,1151152.49,315984.306,102606.1332,577898.54
3735599.6,6699508.1,2495052.48,2112169.15,356599.188,779778.042,779778.9082,1277160.491,2085738.882,1097398.943,2138101.573,2017776.25,550619.875,202990.2294,806760.39
4185037.56,8142673.5,2866455.25,2400515.891,389466.6219,753747.292,753425.8457,1178049.134,1877077.581,942438.9477,1727484.31,1598676.674,356479.766,93909.90333,646410.52
2532001.003,5073519.3,1416931.34,1356951.16,144829.9618,400418.9606,400115.1057,633710.351,1094176.83,564259.767,1125500.45,1098088.907,265199.512,52200.05012,424433.08
3860122.01,7658644.6,2241989.93,2013633.49,269333.5755,641629.187,642615.8337,898724.483,1408548.073,688663.2893,1215365.088,989974.13,261488.63,64078.1312,332102.18
2590994.37,6008886.7,1854798.5,1484653.98,237294.9496,521046.559,521003.6616,745179.778,1246128.285,637959.6654,1164099.101,952573.07,218870.052,48684.9207,295069.68
3841100.015,5718009.7,2664228.36,2218994.89,331359.8343,757936.928,759536.8195,1074271.486,1546359.069,718759.9479,1310500.028,1271769.26,300960.232,61920.09728,434240.04
5691049.39,9085776,4614822.62,3539121.14,762390.5729,1166372.517,1166374.109,1693698.458,2471328.773,1225129.208,1859001.542,1575802.05,421290.117,154349.6342,528279.02
7977116.9,11569286.8,4969183.77,4122640.21,783236.4342,1327003.455,1325187.568,1921077.995,2982113.857,1565735.968,2841580.25,2753452.43,825780.504,320844.267,1394367.35
5215286.53,9669314.8,2653069.61,2554146.32,264419.7441,694430.688,694116.5264,967119.393,1525398.126,626240.4814,1224828.85,1145571.181,308129.954,99080.034,540762.194
4229999.34,9282948.9,1996930.74,1917125.23,229050.071,542508.9188,542185.7007,888391.143,1425983.284,667719.44,1313800.543,1300260.48,305436.799,88809.82357,503175.67
2467418.31,5640733.7,1564216.48,1284635.936,202739.9642,446725.7918,446488.2922,680798.8631,1123700.343,533988.4241,1159094.177,1099774.21,276060.003,64569.98911,355811.1
7987668.22,13334678.8,4652196.116,3967206.01,690864.518,1260008.827,1257936.776,1884711.812,3156540.387,1675852.889,2963297.271,2518367.95,725488.976,209998.798,871995.95
3623802.57,7169024.2,2136597.8,1958703.88,246770.076,610637.651,612081.5171,894000.432,1417573.536,647700.749,1326600.45,1245760.71,295060.485,65100.00143,437831.36
6969626.2,15123428.8,4068338.58,3528582.74,668659.046,1072170.076,1072182.431,1677507.675,2638366.907,1409397.335,2630999.24,2454188.2,639639.681,223100.159,1057535.45
2828270.21,6737272.3,1226200.71,1225373.49,126569.916,390617.591,390230.8461,584030.2719,989611.415,455400.233,949300.743,809573.19,154769.863,31452.9242,276533.9
3235628.64,6480500.1,1686033.467,1698848.13,165709.3413,422554.7032,424470.0579,604172.4062,1055579.337,482612.088,828675.234,720612.89,181493.715,48628.36998,280026.06
2637147.675,7165231.7,1045200.708,1117901.158,62942.6896,286892.1306,286418.0857,403760.6034,732389.783,312490.1962,646899.5298,554721.08,116760.087,24643.029,174609.21
3658737.23,7463359.3,2053039.19,1924285.37,239330.2675,648174.989,648175.8442,995028.5,1765949.599,927649.869,1923601.116,1836663.4,400551.0668,86235.03386,653654.3
6266430.15,9899114.4,3525551.69,3275127.526,472238.702,884039.874,884036.3556,1267789.73,2041160.366,984059.7906,1944896.732,1855192.87,491175.234,120325.7383,737823.38
2597242.52,5218593.7,1637950.412,1485519.8,156637.4029,434951.5049,434856.611,644660.5454,1132306.757,447726.7977,923545.994,856711.79,230418.487,60615.7309,323981.886
6912253.31,10359388.5,4483576.6,3885892.28,676779.865,1206689.307,1206691.48,1756709.77,2734458.175,1360157.156,2272196.802,1929734.99,488037.096,137647.002,697863.18
2855702.02,7278339.9,1391998.972,1424126.6,180433.083,466524.1781,466313.5283,703299.3412,1303705.621,669109.7135,1296434.148,1197277.783,247605.261,47223.01323,399602.9
6282828.76,10510657.7,3966601.684,3298801.82,625850.563,1151246.844,1152734.042,1929450.555,3104609.327,1715632.184,3232202.171,3224978.883,1024652.626,373882.0774,1576040.75
3473594.53,6934219,1693065.285,1577690.66,188893.2506,412419.73,410576.2821,642264.133,1006406.306,428351.9119,864969.33,824427.063,220971.815,67741.54919,490780.68
7069019.4,11796656.6,4425813.772,3668997.26,706138.663,1338992.506,1338995.817,2210499.92,3852515.279,2188397.497,4040299.85,4197898.52,1271327.076,503856.447,2227348.42
6268741.13,11710507.9,3162780.89,2914599.469,466119.3573,913185.9003,913185.5469,1320401.411,1958661.756,882799.7017,1445602.894,1296160.72,359472.561,122351.9365,604213.66
5958854.9,10784430.7,2972001.43,2847770.22,388859.865,780083.92,780080.0399,1074100.53,1680165.337,733099.9556,1417502.712,1154179.224,292462.735,84015.1535,429091.68
3240323.1,6645669.2,1878413.016,1714105.7,204471.36,530761.891,529637.7159,775778.0692,1221510.852,552384.1342,1039069.11,850873.523,168470.186,34909.21805,256743.11
4740749.92,9639966.3,2993420.97,2659594.06,474949.897,795602.0285,795599.9302,1281298.587,2030696.141,1108300.377,2047001.42,2084893.98,615790.002,225226.774,912297.36
8340965.1,15877712.1,4271872.6,3976351.07,573718.7582,1002302.149,1001915.791,1560396.7,2236706.087,1133401.284,2190499.15,2055942.58,489825.904,156671.956,788363.167
4854144.7,9388274.7,2620244.71,2372457.34,389910.0492,779043.735,778667.2887,1241497.84,2028676.136,1108399.474,1795700.39,1557964.91,383579.102,122364.054,557232.8
1858150.65,4763116.6,802836.285,790930.9564,65493.9369,246437.497,246999.3987,372274.76,672122.872,299007.6531,630820.19,536547.76,147311.156,42576.9244,237827.62
994461.506,3412389.1,349060.11,368950.32,20070.0234,129185.8066,129186.2143,154969.97,382660.2456,150370.1557,361549.935,386006.83,93641.044,15884.00453,186015.19
5685376.38,12025937.4,3223684.6,2984786.986,493550.0755,957670.2928,959187.8254,1589899.17,2903000.669,1755657.915,3401883.222,3363282.65,833809.261,272599.8595,1523859.47
3022668.22,5617129.1,2041507.601,1719793.56,341639.9781,690131.0278,689744.319,1163798.521,1909448.094,1075440.559,1830260.02,1701445.56,416167.021,113609.045,678003.645
5554481.07,9769798.3,3861352.28,3191779.08,641493.8601,1141359.953,1138264.811,1808601.312,3052225.898,1648833.91,2979087.09,2997347.41,887105.695,331082.897,1552973.44
2477632.65,6392293.6,1127990.85,1092592.99,129310.056,369662.6334,369402.7587,590999.9191,1055512.593,501010.0612,1065831.26,1028304.85,247787.761,80241.9655,458656.364
8998172.4,13361555.3,6089651.36,4926400.2,996749.345,1547459.544,1547461.624,2345050.881,3805777.481,1947189.448,3316046.71,3052886.72,771637.257,230262.647,1102667.16
9417794.7,17179024.3,6355855.7,4699126.54,1253290.303,1848381.9,1848387.659,2951585.58,4631394.17,2786539.994,4641880.5,4286705.3,1402007.124,615013.894,2317926.72
5761913.56,9532800.8,3913824.2,3169313.933,582750.0569,1080240.529,1080742.619,1435992.205,2470520.188,1181741.532,2050458.25,1937508.1,517938.033,187063.191,890317.54
2641570.14,5482975.6,1569107.179,1318573.2,175468.3501,484050.66,483776.7648,678040.002,1226419.67,566999.4628,1126844.85,1236048.477,332383.585,112029.816,677717.41
6759866.15,10947906.2,4583125.1,3474896.8,710139.966,1232309.457,1232311.595,1936203.88,2970893.639,1558352.437,3031397.85,3189641.54,815417.295,247146.236,1359500.361
2227094.44,5280065.7,879784.574,876153.7482,61730.0217,262359.5676,262816.3407,372039.804,655590.4625,297752.586,757631.175,763291.77,191602.5657,57061.9914,402671.243
2057612.69,5410263.7,856127.6498,918945.701,64878.535,253413.726,253316.2188,379425.272,823078.8075,416293.257,862207.65,821849.107,186007.265,46664.14114,293202.57
3686846.78,6622251,2247426.171,2262032.757,192431.16,563449.3306,563213.0044,778306.636,1311905.093,533596.1681,939165.8503,897393.74,214245.523,54678.9741,388366.39
2171007.473,4737715.8,1117787.246,1237714.44,106995.9219,337809.0554,337964.6566,468848.5725,842591.3274,406419.002,742515.968,684029.97,141203.151,29805.01018,204307.94
2056566.107,4012787.1,1194677.872,1179026.886,121605.1205,337121.9178,337121.574,511160.9859,1099078.991,560455.6052,1033214.148,1060935.62,252239.197,60157.95286,383631.22
1917038.4,5176676.3,930533.89,918012.293,116939.282,291286.482,290032.6053,485656.672,838521.8,448338.813,812266.74,701475.39,149555.771,31445.82512,288699.74
5713931.54,10191397.2,3398938.21,2903331.7,561700.1794,999443.573,1001108.241,1556778.918,2623558.349,1530705.518,2672869.75,2479219.17,549109.139,140290.943,833585.48
1891319.16,4225585.8,811261.841,877533.6447,67264.0144,269904.2094,269903.5508,455109.07,884685.077,374893.1067,824308.238,867282.748,191701.2994,45250.03766,335363.81
9279237.55,15143448.2,5549370.74,4570468.74,891258.116,1552344.637,1552348.241,2348237.471,3921803.966,2172682.909,3877691.96,3370950.54,865993.706,252137.7877,1281823.85
5807392.13,9625158,3656572.53,3255443.192,460992.233,977475.938,974238.8508,1493524.936,2322398.498,1211589.167,2207976.18,2065600.718,529462.489,169691.848,922886.562
6754748.08,10232407.4,4704009.58,3731967.812,766918.0403,1220998.209,1220994.119,1756659.137,3223975.105,1749391.046,2781622.9,2563397.93,763546.415,357364.564,1199315.64
7198563.04,16174886.1,4371074.19,3621761.91,812398.078,1267836.368,1267819.662,2084959.491,3338330.551,1844742.934,3159848.76,2981243.96,934011.588,461277.885,1530534.268
5277267.07,9854971.9,3289506.85,2744128.08,473727.7595,912884.56,912887.1442,1347543.96,2127405.181,905133.467,1527048.12,1241791.083,265997.588,97329.9956,473181.1
4263490.28,9808755.5,2648807.07,2234114.739,384643.7359,744666.496,742652.7824,1165029.153,2024095.226,976009.3289,1745455.581,1502995.865,370194.584,108217.2383,465460.19
2040603.62,5827509,1022437.089,918801.977,130781.1058,380301.882,379838.1773,565033.059,1033624.857,521065.7116,1063007.941,1001633.66,261805.794,59176.96094,370787.28
3084334.86,7768643.2,2025181.493,1714497.173,225967.784,580492.8082,580122.3735,850940.4828,1401467.829,636339.7853,1168722.643,1134179.28,307461.564,75843.97185,355821.18
4692729.34,9944791.2,2305385.238,2362713.36,241170.922,671674.204,671326.0712,972036.647,1627092.3,815657.7609,1449950.058,1409933.341,425880.988,131162.8048,575196.56
3814962.25,8991393.7,1611677.16,1686964.828,181849.406,501920.339,503750.6906,750711.665,1326767.555,610997.5603,1134567.198,1053431.191,238130.777,54203.90506,400434.69
4266477.11,8628146.6,3278161.26,2368647.53,512279.7366,1031430.39,1031418.599,1692099.92,3005959.63,1683865.064,2829832.01,2514501.97,624420.909,174904.551,1089497.2
8211500.64,14303751.2,5331366.81,4221453.81,888693.3942,1457817.725,1457820.363,2201338.681,3312912.159,1741233.268,3180817.05,2878197.43,707662.873,205029.748,1043819.43
2517072.62,5215766.3,1298127.16,1226228.6,156254.9714,416908.807,418256.3311,562826.1212,845700.2728,413009.8849,682385.691,673458.36,163924.9522,39566.95204,274070.09
2276031.1,5646937.9,1196220.81,1215786.228,135276.599,412496.809,411521.236,624526.8217,1129081.841,619681.514,1120798.514,1208985.783,330899.542,80191.01187,503481.81
3123031.11,6226023.6,1952762.351,1693987.12,217885.8405,642227.0895,642959.064,983146.877,1665108.283,836571.612,1455377.885,1349141.836,313988.139,58150.10948,456812.55
3585731.97,8378190.9,2205116.67,1838190,285139.135,709312.484,708994.4408,1100755.867,1884278.649,1066763.282,2028706.53,2033978.097,577432.928,148509.682,794931.93
6578266.03,9935551.1,4841622.86,3846858.57,783739.0447,1397870.186,1399242.664,2231476.32,3520412.28,1926585.417,3304826.3,3319641.07,863961.383,276727.083,1395024.593
2859758.54,5797190,1649363.92,1545173.37,191064.233,418333.595,418434.1085,624211.4728,876096.011,426508.5201,833162.296,828123.24,257872.774,86248.4695,383372.47
3130198.22,5870662,1670148.198,1494203.227,165925.904,418292.8177,418043.9747,626841.88,1087148.138,479066.4682,856627.444,688572.907,152760.93,32627.03892,220172.08
1720509.1,3938293,917591.132,872808.681,82667.0091,264229.8693,263907.5194,365588.27,600536.686,245137.7184,509635.089,538358.73,99481.0276,14550.01412,177551.89
1993750.37,5525667.2,843039.703,838380.9243,81945.0416,212865.9876,212866.0217,323619.7051,598858.2527,184509.0976,325270.9336,358735.141,88324.8706,9768.9841,129397.868
4243502.79,8266437.2,2612081.708,2373517.722,333550.9144,697501.327,695732.6858,1080895.679,1818377.525,860832.6108,1304335.572,1247120.619,305843.78,81618.09986,350438.97
10171335,14673339,7390090,5584102,1218338,1901368,1901368,3077727,4862109,2503177,4395400,4004851,998347,363581,1858254
3389288,5166668,2370701,1935138,327535,598334,598334,985345,1672895,752964,1348979,1301346,254588,61761,440118
6170591,11240671,4149652,3204890,717045,1219500,1219500,1923698,2984040,1632899,2734772,2864133,731127,230345,1243065
2252290,4865035,1404433,1191788,185229,415602,415602,662441,969879,498982,886706,906126,200302,58342,385340
1436610,3618229,717513,596574,77624,207127,207127,351456,607322,323444,521853,391694,73697,20759,167775
3015937,4334188,1887604,1556806,240183,467045,467045,679770,1071039,510529,1059493,781232,158325,35857,220188
6836763,9169090,4726158,3377009,1060250,1554824,1554824,2539057,4148197,2607261,4506922,4392632,1330908,545984,2269824
4772150,8550209,2325848,1921108,417961,667763,667763,1085105,1698478,938922,1757113,1585353,416098,160683,749208
